rule,name,source,replacement,equivalence,preconditions_or_reason,tests,status
R01,JOIN_COMMUTE,"Join(A,B)","Join(B,A)",exact bag,"same frame/region/environment; neither side has required directional input; no hard barrier; no order or external effect","q07,q14,q33",ALLOW
R02,JOIN_ASSOCIATE,"Join(Join(A,B),C)","Join(A,Join(B,C))",exact bag,"same constraints as R01 for all factors; dependency DAG preserved","q07,q14,q33",ALLOW
R03,FILTER_OVER_UNION,"Filter(F,Union(A,B))","Union(Filter(F,A),Filter(F,B))",exact bag,"condition clones preserve symbols/captures; condition duplicable; same region/environment","q06,q07,q08,q22",ALLOW
R04,FILTER_BELOW_JOIN_LEFT,"Filter(F,Join(A,B))","Join(Filter(F,A),B)",exact bag,"reads(F) & ~must(A) & may(B) = empty; F pure/invocation-safe; target environment unchanged","q07,q14,q21,q22",ALLOW
R05,FILTER_BELOW_JOIN_RIGHT,"Filter(F,Join(A,B))","Join(A,Filter(F,B))",exact bag,"reads(F) & ~must(B) & may(A) = empty; F pure/invocation-safe; target environment unchanged","q07,q14,q21,q22",ALLOW
R06,FILTER_BELOW_LEFTJOIN_LEFT,"Filter(F,LeftJoin(A,B,C))","LeftJoin(Filter(F,A),B,C)",exact bag,"reads(F) & ~must(A) & may(B) = empty; F pure/invocation-safe; no change to optional condition/fallback","q01,q02,q20,q24",ALLOW
R07,FILTER_INTO_MINUS_LEFT,"Filter(F,Minus(A,B))","Minus(Filter(F,A),B)",exact bag,"F only observes left mapping/context; F pure/invocation-safe; RHS unchanged","q18,q19,q37",ALLOW
R08,FILTER_INTO_MINUS_BOTH,"Filter(F,Minus(A,B))","Minus(Filter(F,A),Filter(F,B))",not equivalent,"never legal as a generic rule; filtering RHS can remove an eliminating witness","q18,q19",DENY
R09,LEFTJOIN_OVER_LEFT_UNION,"LeftJoin(Union(A,B),R,C)","Union(LeftJoin(A,R,C),LeftJoin(B,R,C))",exact bag,"R and C hygienically cloneable; no volatile/external duplicated evaluation; same region/environment","q23,q25",ALLOW
R10,LEFTJOIN_OVER_RIGHT_UNION,"LeftJoin(L,Union(A,B),C)","Union(LeftJoin(L,A,C),LeftJoin(L,B,C))",not equivalent,"never legal generically; creates one fallback per branch",q24,DENY
